Timestamp,M1_Pressure,M1_Pressure_Flag,M1_Plunger_Position,M1_Valve_Position,M2_Pressure,M2_Pressure_Flag,M2_Plunger_Position,M2_Valve_Position,M3_Pressure,M3_Pressure_Flag,M3_Plunger_Position,M3_Valve_Position,M4_Pressure,M4_Pressure_Flag,M4_Plunger_Position,M4_Valve_Position,M5_Pressure,M5_Pressure_Flag,M5_Plunger_Position,M5_Valve_Position,M6_Pressure,M6_Pressure_Flag,M6_Plunger_Position,M6_Valve_Position
2025-09-22 13:10:17.608051,-5.201913833618164,False,-40.0,1,-57.55461609363556,False,-40.0,1,-24.60098934173584,False,-40.0,1,-32.69440937042236,False,-40.0,1,-290.521240234375,False,-40.0,1,1.7531589269638062,False,-40.0,1
2025-09-22 13:10:17.628396,-1.7339859008789062,False,-40.0,1,-31.39549744129181,False,-40.0,1,-3.514634132385254,False,-40.0,1,-32.69440937042236,False,-40.0,1,-290.521240234375,False,-40.0,1,0.0,False,-40.0,1
2025-09-22 13:10:17.648732,-3.46795654296875,False,-40.0,1,-10.46571934223175,False,-40.0,1,3.5147042274475098,False,-40.0,1,1.7209768295288086,False,-40.0,2,-292.3018798828125,False,-40.0,2,0.0,False,-40.0,1
2025-09-22 13:10:17.668825,-5.201913833618164,False,-40.0,1,-1.744324803352356,False,-40.0,1,3.5147042274475098,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.690393,-3.46795654296875,False,-40.0,1,0.0,False,-40.0,1,3.5147042274475098,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.712242,-1.7339859008789062,False,-40.0,1,0.0,False,-40.0,1,3.5147042274475098,False,-40.0,1,0.0,False,-40.0,2,-288.74066162109375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.732046,-1.7339859008789062,False,-40.0,1,1.7443400621414185,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-288.74066162109375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.752489,0.0,False,-40.0,1,1.7443400621414185,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-288.74066162109375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.772584,-1.7339859008789062,False,-40.0,1,1.7443400621414185,False,-40.0,1,3.5147042274475098,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.792989,-1.7339859008789062,False,-40.0,1,1.7443400621414185,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-288.74066162109375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.813225,0.0,False,-40.0,1,1.7443400621414185,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.833438,0.0,False,-40.0,1,1.7443400621414185,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-288.74066162109375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.853890,0.0,False,-40.0,1,1.7443400621414185,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-288.74066162109375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.874218,0.0,False,-40.0,1,0.0,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.894364,0.0,False,-40.0,1,0.0,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.915220,0.0,False,-40.0,1,0.0,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.935559,0.0,False,-40.0,1,0.0,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.955964,0.0,False,-40.0,1,0.0,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.976084,0.0,False,-40.0,1,0.0,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:17.996472,0.0,False,-40.0,1,0.0,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:18.016906,0.0,False,-40.0,1,0.0,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:18.037157,0.0,False,-40.0,1,0.0,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:18.057561,0.0,False,-40.0,1,0.0,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:18.077772,0.0,False,-40.0,1,0.0,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,0.0,False,-40.0,2
2025-09-22 13:10:18.097944,0.0,False,-40.0,1,0.0,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,31.559919118881226,False,-40.0,2
2025-09-22 13:10:18.118160,0.0,False,-40.0,1,536.2474354505539,False,-40.0,1,1.7573437690734863,False,-40.0,1,0.0,False,-40.0,2,-290.521240234375,False,-40.0,2,14.0258309841156,False,-40.0,2
2025-09-22 13:10:18.139250,0.0,False,-40.0,1,2908.1626576185226,False,-40.0,1,806.7197504043579,False,-40.0,1,0.0,False,-40.0,2,-158.69970703125,False,-40.0,2,8.765994787216187,False,-40.0,2
2025-09-22 13:10:18.159458,185.6224184036255,False,-40.0,1,3742.1074818372726,False,-40.0,1,1009.8835077285767,False,-40.0,1,1085.0106801986694,False,-40.0,2,459.2281494140625,False,-39.84,2,12.272532224655151,False,-39.38666666666667,2
2025-09-22 13:10:18.179845,388.79057025909424,False,-39.85333333333333,1,3736.7588490247726,False,-40.0,1,1020.4903802871704,False,-40.0,1,1107.5597524642944,False,-40.0,2,611.4256591796875,False,-39.84,2,10.519253492355347,False,-39.38666666666667,2
2025-09-22 13:10:18.200002,1311.842267036438,False,-39.85333333333333,1,3702.8877552747726,False,-39.25333333333333,1,1009.8835077285767,False,-40.0,1,1043.3910512924194,False,-40.0,2,1169.6068115234375,False,-39.84,2,10.519253492355347,False,-39.38666666666667,2
2025-09-22 13:10:18.220237,2248.4542055130005,False,-39.85333333333333,1,3788.4717396497726,False,-39.25333333333333,1,1016.9546136856079,False,-39.29333333333333,1,1053.7948598861694,False,-40.0,2,2682.0018310546875,False,-39.84,2,14.0258309841156,False,-39.38666666666667,2
2025-09-22 13:10:18.240827,2392.4693422317505,False,-39.85333333333333,1,3777.7713001966476,False,-39.25333333333333,1,1024.026146888733,False,-39.29333333333333,1,1085.0106801986694,False,-39.16,2,3092.8692626953125,False,-39.84,2,17.532488584518433,False,-39.38666666666667,2
2025-09-22 13:10:18.261724,2366.1155824661255,False,-39.85333333333333,1,3802.7410267591476,False,-39.25333333333333,1,1015.1867303848267,False,-39.29333333333333,1,1111.0292348861694,False,-39.16,2,4722.8770751953125,False,-38.946666666666665,2,10.519253492355347,False,-39.38666666666667,2
2025-09-22 13:10:18.282006,2378.4134340286255,False,-39.85333333333333,2,3722.4963978528976,False,-39.25333333333333,1,1015.1867303848267,False,-39.29333333333333,1,1079.807433128357,False,-39.16,2,6066.5050048828125,False,-38.946666666666665,2,10.519253492355347,False,-38.48,2
